229: 3,462 (pre, post)
230: 220,221 (pre, post)
231: 31,434 (pre, post)
232: 125,332 (pre, post)
233: 109,350 (pre, post)
234: 136,141 (pre, post)
235: 21,444 (pre, post)
236: 216,227 (pre, post)
237: 58,405 (pre, post)
238: 23,442 (pre, post)
